Year,Haul,ADFG_Station,Date,Gross_Catch_Weight_kg,Tare_kg,Large_fish_Debris_kg,RKC_kg,SubSample_Weight_kg,Remarks
2006,1,187,7/25/2006,616,152,0,1.48,46,
2006,2,186,7/25/2006,1374,142,876,55,54,
2006,3,185,7/26/2006,270,152,2,20,96,whole haul
2006,4,185,7/26/2006,348,150,0,53,22,"retow, 4+ legal red king (but not parallel to haul #3)"
2006,5,184,7/26/2006,284,146,0,2,34,
2006,6,183,7/26/2006,312,140,3.05,0.57,46,
2006,7,182,7/26/2006,254,138,0,0.65,44,
2006,8,181,7/26/2006,296,146,0,0,32,
2006,9,180,7/27/2006,388,152,0,0.62,40,
2006,10,179,7/27/2006,432,148,0,0,38,
2006,11,153,7/27/2006,248,142,0.46,0,22,
2006,12,154,7/27/2006,296,140,0,0.73,40,
2006,13,155,7/27/2006,238,148,12,1.82,34,
2006,14,156,7/27/2006,210,144,0,1.75,22,
2006,15,157,7/27/2006,212,140,0,2.62,42,
2006,16,204,7/30/2006,476,150,304,0,22,Note: whole haul subsample weight sum=better indicator of adjusted nc weight
2006,17,186,7/30/2006,318,140,12.55,10.35,48,"retow, didn't tow on center point"
2006,18,161,7/30/2006,440,154,0,0,58,
2006,19,134,7/30/2006,435,140,0,1.5,38,
2006,20,135,7/30/2006,366,128,67.7,1,44,
2006,21,107,7/30/2006,430,142,6.4,0,66,
2006,22,82,7/30/2006,440,146,11,0,22,
2006,23,160,7/30/2006,366,158,0,12.3,48,
2006,24,160,7/31/2006,402,156,0,7.43,48,"retow, 4+ legal red king"
2006,25,133,7/31/2006,272,148,0,1.5,44,
2006,26,106,7/31/2006,732,156,0,4,54,
2006,27,81,7/31/2006,390,148,0,0,39,
2006,28,80,7/31/2006,320,148,0,1.5,42,
2006,29,105,7/31/2006,356,144,0,7.15,42,
2006,30,105,7/31/2006,346,144,0,8,42,"retow, 4+ legal red king"
2006,31,158,7/31/2006,318,136,2.9,1.9,42,
2006,32,159,8/1/2006,356,146,48.8,3,44,
2006,33,132,8/1/2006,395,142,19.3,3,50,
2006,34,131,8/1/2006,322,152,4.6,1.2,44,
2006,35,104,8/1/2006,396,162,9.3,0.72,56,
2006,36,79,8/1/2006,280,144,14,2.56,22,
2006,37,78,8/1/2006,260,154,0,0,28,
2006,38,103,8/1/2006,242,146,12.8,0.45,28,
2006,39,130,8/2/2006,358,142,0,0,52,
2006,40,129,8/2/2006,326,152,0,0,42,
2006,41,128,8/2/2006,296,154,0,0,34,
2006,42,127,8/2/2006,534,148,0,6.32,62,
2006,43,126,8/2/2006,428,150,0,1.8,60,
2006,44,125,8/2/2006,464,158,10,3.44,68,
2006,45,152,8/2/2006,482,142,0,1.64,74,
2006,46,177,8/3/2006,932,178,719,0,35,"Note: whole haul, net ripped, large rocks"
2006,47,151,8/3/2006,480,148,0,3.1,60,
2006,48,150,8/3/2006,774,146,12,0,68,
2006,49,176,8/3/2006,528,152,12,1.5,44,
2006,50,175,8/3/2006,680,156,52,0,82,
2006,51,174,8/4/2006,466,146,6,0,48,
2006,52,147,8/4/2006,332,150,0.8,0,44,
2006,53,148,8/4/2006,600,160,0,1.27,42,
2006,54,149,8/4/2006,416,140,0,0.06,52,
2006,55,122,8/4/2006,450,144,4.5,1.39,68,
2006,56,121,8/4/2006,304,144,0,0,49,
2006,57,120,8/4/2006,268,148,0,0,30,
2006,58,94,8/5/2006,258,144,0,0,28,
2006,59,95,8/5/2006,256,148,0,9.95,26,
2006,60,95,8/5/2006,254,148,0,1.2,22,"Retow, 4+ Legal Red King"
2006,61,123,8/5/2006,358,150,0,1.9,50,
2006,62,124,8/5/2006,376,162,0,2.3,54,
2006,63,97,8/5/2006,828,152,428,1,56,
2006,64,96,8/5/2006,434,146,0,2.6,80,
2006,65,70,8/5/2006,330,146,0,0,48,
2006,66,69,8/6/2006,350,156,18,0,34,
2006,67,68,8/6/2006,1340,240,719,0,64,Note: large amount of mud in net
2006,68,93,8/6/2006,870,146,179,0.8,86,
2006,69,98,8/7/2006,626,152,0,1.7,58,
2006,70,99,8/7/2006,520,144,0,1.8,54,
2006,71,100,8/7/2006,322,146,3.1,0.5,52,
2006,72,101,8/7/2006,518,144,0,6.7,78,
2006,73,102,8/7/2006,440,142,3.9,0.9,46,
2006,74,202,8/8/2006,576,138,0,0,70,
2006,75,203,8/8/2006,1150,146,12,0.03,78,
2006,76,185,8/9/2006,384,157,55.5,20,44,"retow of haul #4, parallel to #4"
2006,77,189,8/9/2006,652,134,72,0.4,42,
2006,78,190,8/9/2006,508,142,16,0,46,
2006,79,191,8/9/2006,798,144,20,2.5,48,
2006,80,165,8/9/2006,730,154,18,0,42,
2006,81,164,8/9/2006,718,146,33.2,0,40,
2006,82,163,8/10/2006,1246,156,58,2.2,42,
2006,83,137,8/10/2006,1314,140,14,0,46,
2006,84,110,8/10/2006,1536,140,32,0,48,
2006,85,84,8/10/2006,764,150,26,0,40,
2006,86,61,8/10/2006,438,142,26,1.05,50,
2006,87,10,8/11/2006,1206,146,62,0,56,
2006,88,10,8/11/2006,890,142,48,0,38,
2006,89,9,8/11/2006,344,142,14,0,54,
2006,90,24,8/11/2006,1086,148,66,0,46,
2006,91,25,8/11/2006,626,152,18,0,56,
2006,92,26,8/12/2006,410,144,0,0.57,54,
2006,93,44,8/12/2006,1440,150,23,0,56,
2006,94,62,8/12/2006,1106,172,12,0,48,
2006,95,86,8/12/2006,1074,150,14,0,40,
2006,96,64,8/12/2006,390,144,0,0,36,
2006,97,65,8/13/2006,518,146,3,1.62,44,
2006,98,88,8/13/2006,1420,148,26,4.35,52,
2006,99,112,8/13/2006,776,158,7,0,44,
2006,100,139,8/13/2006,980,152,46,0.84,52,
2006,101,140,8/13/2006,448,148,3.2,0.26,44,
2006,102,141,8/13/2006,1170,160,122,7.68,46,
2006,103,169,8/14/2006,680,162,5,0.71,46,
2006,104,167,8/14/2006,940,172,9.8,0.62,50,
2006,105,211,8/14/2006,2256,158,196,0,30,
