HAULJOIN,VESSEL,CRUISE,HAUL,HAUL_TYPE,PERFORMANCE,START_DATE,START_HOUR,DURATION,DISTANCE_FISHED,NET_WIDTH,NET_MEASURED,NET_HEIGHT,MID_LATITUDE,MID_LONGITUDE,GIS_STATION,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMPERATURE,GEAR_TEMPERATURE,WIRE_LENGTH,GEAR,ACCESSORIES,SUBSAMPLE,AREA_SWEPT,SPECIES_CODE,SEX,LENGTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,MERUS_LENGTH,CHELA_HEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,CALCULATED_WEIGHT,WEIGHT,SAMPLING_FACTOR
-17430,162,201702,75,3,0,8282017,1723,0.52,2.885,14.518,Y,2.691,63.66954,-168.278,AA-01,30,33,9.3,6.5,137,44,15,1,0.012211546,69322,,,,,,,,,,,,,,,
-17429,162,201702,74,3,0,8282017,1420,0.527,2.971,14.052,Y,2.642,63.66578,-167.52785,AA-02,26,29,9.6,5.8,137,44,15,2,0.012171913,69322,1,142.3,2,,,,,,,,,,2340.134437,2308,1
-17406,94,201702,52,3,0,8252017,1132,0.525,2.991,16.466,Y,1.957,63.66339,-166.80781,AA-03,27,29,11.1,4.7,137,44,15,1,0.014358946,69322,,,,,,,,,,,,,,,
-17404,94,201702,50,3,0,8242017,1712,0.528,2.984,15.6,Y,2.185,63.67658,-166.0585,AA-04,24,26,11.1,5.5,137,44,15,1,0.013571925,69322,2,70.2,2,2,1,5,,,,,,,300.5607597,,1
-17404,94,201702,50,3,0,8242017,1712,0.528,2.984,15.6,Y,2.185,63.67658,-166.0585,AA-04,24,26,11.1,5.5,137,44,15,1,0.013571925,69322,1,119.6,1,,,,,,,,,,1355.665811,,1
-17404,94,201702,50,3,0,8242017,1712,0.528,2.984,15.6,Y,2.185,63.67658,-166.0585,AA-04,24,26,11.1,5.5,137,44,15,1,0.013571925,69322,2,75.6,2,0,0,0,,,,,,,306.6152027,,1
-17375,94,201702,28,3,6.21,8192017,1125,0.519,2.711,15.615,Y,2.448,63.64831,-165.33659,AA-05,16,18,10.9,10.8,110,44,15,1,0.012342114,69322,,,,,,,,,,,,,,,
-17376,94,201702,29,3,6.21,8192017,1424,0.515,2.836,13.451,Y,3.026,63.68127,-164.61319,AA-06,9,12,11.9,11.4,73,44,15,1,0.011121896,69322,,,,,,,,,,,,,,,
-17377,94,201702,30,3,6.21,8192017,1721,0.526,2.984,13.74,Y,2.635,63.67011,-163.82735,AA-07,11,14,12.9,12.7,91,44,15,1,0.011953734,69322,1,54.3,2,,,,,14.1,,,,,113.4725289,132,1
-17387,94,201702,31,3,6.21,8202017,834,0.521,2.836,14.929,Y,2.404,63.66655,-163.06016,AA-08,13,15,13,13.4,91,44,15,1,0.012343973,69322,,,,,,,,,,,,,,,
-17391,94,201702,35,3,6.21,8202017,1944,0.266,1.422,13.53,Y,2,63.80437,-161.58552,AA-10,12,14,13.8,10.6,73,44,15,1,0.005609387,69322,2,108.4,2,2,1,6,,,,,,,957.1939518,856,1
-17425,162,201702,71,3,0,8272017,1951,0.521,2.855,14,Y,3,63.67011,-169.01404,AA-18,33,36,7.1,6.5,137,44,15,1,0.011653387,69322,,,,,,,,,,,,,,,
